pueblo_magico,estado,pob_2010,pob_2015
Asientos,Aguascalientes,48358,50864
Calvillo,Aguascalientes,57627,60760
San José de Gracia,Aguascalientes,7160,9661
Tecate,Baja California,89999,110870
La Paz,Baja California Sur,265717,293687
Loreto,Baja California Sur,18538,22045
Palizada,Campeche,9605,9092
Arteaga,Coahuila,22544,23271
Candela,Coahuila,1736,1728
Cuatro Ciénegas,Coahuila,11698,14168
Guerrero,Coahuila,1946,1706
Múzquiz,Coahuila,66834,69102
Parras,Coahuila,43087,43759
Viesca,Coahuila,21319,21549
Comala,Colima,21138,23998
Comitán de Domínguez,Chiapas,149562,173188
Chiapa de Corzo,Chiapas,82617,125567
Palenque,Chiapas,121227,126000
San Cristóbal de las Casas,Chiapas,191228,206839
Batopilas,Chihuahua,14998,6111
Bocoyna (Creel),Chihuahua,30463,23479
Casas Grandes,Chihuahua,10993,12605
Mapimí,Durango,28634,32198
Nombre de Dios,Durango,20870,17809
Comonfort,Guanajuato,75326,74866
Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,144333,146574
Purísima del Rincón (Jalpa de Cánovas),Guanajuato,71621,85203
Salvatierra,Guanajuato,106631,89381
San Luis de la Paz (Mineral de pozos),Guanajuato,119983,117722
Yuriria,Guanajuato,79480,59330
Taxco de Alarcón,Guerrero,104733,108365
Huasca de Ocampo,Hidalgo,17182,17728
Huichapan,Hidalgo,46362,53554
Mineral del Chico,Hidalgo,7830,9125
Mineral del Monte,Hidalgo,13371,14960
Tecozautla,Hidalgo,35067,37674
Zimapán,Hidalgo,42913,41401
Lagos de Moreno,Jalisco,153817,164981
Mascota,Jalisco,14245,14477
Mazamitla,Jalisco,13225,13799
San Sebastián del Oeste,Jalisco,5755,5643
Talpa de Allende,Jalisco,14410,15126
Tapalpa,Jalisco,18096,19506
Tequila,Jalisco,40697,42009
Tlaquepaque,Jalisco,608114,664193
Aculco,Mexico,54235,46275
Ixtapan de la Sal,Mexico,45752,36091
Malinalco,Mexico,33834,27218
Metepec,Mexico,222067,219270
El Oro,Mexico,33958,34581
San Martín de las Pirámides,Mexico,25139,26033
Teotihuacán,Mexico,54549,64682
Tepotzotlán,Mexico,83066,97736
Valle de Bravo,Mexico,78669,66258
Villa del Carbón,Mexico,52703,46647
Angangueo,Michoacan,13013,10172
Cuitzeo,Michoacan,24732,26180
Jiquilpan,Michoacan,38482,33079
Pátzcuaro,Michoacan,91308,86166
Salvador Escalante (Santa Clara del Cobre),Michoacan,44388,48199
Tacámbaro,Michoacan,81447,81499
Tlalpujahua,Michoacan,34700,29458
Tzintzuntzan,Michoacan,14204,14875
Tepoztlán,Morelos,41629,46946
Tlayacapan,Morelos,16543,17714
Compostela,Nayarit,77256,81023
Jala,Nayarit,21129,19790
Bahía de Banderas (Sayulita),Nayarit,133159,153793
Bustamante,Nuevo Leon,3756,3977
Linares,Nuevo Leon,78745,78593
Santiago,Nuevo Leon,38720,40649
Huautla de Jiménez,Oaxaca,15171,14551
Capulálpam de Méndez,Oaxaca,1467,1549
San Pablo Villa de Mitla,Oaxaca,11825,12511
San Pedro y San Pablo Teposcolula,Oaxaca,3989,4016
Santa María Tonameca (Mazunte),Oaxaca,28540,35088
Atlixco,Puebla,133079,134720
Cuetzalan del Progreso,Puebla,43241,47446
Chignahuapan,Puebla,66667,61172
Huauchinango,Puebla,103645,98031
Pahuatlán,Puebla,19475,19392
San Andrés Cholula,Puebla,127496,156754
San Pedro Cholula,Puebla,122895,123037
Tlatlauquitepec,Puebla,56012,49118
Xicotepec,Puebla,76053,84701
Zacatlán,Puebla,91314,84716
Amealco de Bonfil,Queretaro,73391,60063
Cadereyta de Montes,Queretaro,79120,77942
Ezequiel Montes (Bernal),Queretaro,44719,40018
Jalpan de Serra,Queretaro,25500,26902
San Joaquín,Queretaro,9121,9480
Tequisquiapan,Queretaro,61307,69563
Isla Mujeres,Quintana Roo,16203,19495
Tulum,Quintana Roo,28263,32714
Bacalar,Quintana Roo,32000,39111
Aquismón,San Luis Potosi,43274,52435
Catorce,San Luis Potosi,9800,9863
Xilitla,San Luis Potosi,56623,43652
Cosalá,Sinaloa,16287,9551
El Fuerte,Sinaloa,98976,99266
Mocorito,Sinaloa,50532,36780
Rosario,Sinaloa,50065,53439
Álamos,Sonora,27503,24054
Magdalena,Sonora,31598,32232
Tacotalpa (Tapijulapa),Tabasco,43760,44881
Mier,Tamaulipas,3856,4471
Tula,Tamaulipas,34865,26506
Huamantla,Tlaxcala,84979,92887
Tlaxco,Tlaxcala,37863,41848
Coatepec,Veracruz,83420,87575
Coscomatepec,Veracruz,48976,50195
Xico,Veracruz,38825,34602
Orizaba,Veracruz,120995,126005
Papantla,Veracruz,171677,185272
Zozocolco de Hidalgo,Veracruz,14691,12256
Izamal,Yucatan,25980,26801
Valladolid,Yucatan,74217,80313
Guadalupe,Zacatezas,155331,189495
Jerez,Zacatezas,57610,55114
Nochistlán de Mejía,Zacatezas,30114,26855
Pinos,Zacatecas,76639,76220
Sombrerete,Zacatecas,61188,62433
Teúl de González Ortega,Zacatecas,4666,5381
